MSOA11CD,MSOA,housing_price,mean_income,population,fertility_rate
E02000001,City of London 001,894046,79700,8072,37.9
E02000002,Barking and Dagenham 001,218348,38600,7235,95.6
E02000003,Barking and Dagenham 002,233599,46400,10732,81.3
E02000004,Barking and Dagenham 003,239080,45300,6419,55.3
E02000005,Barking and Dagenham 004,222851,41000,9056,70.6
E02000007,Barking and Dagenham 006,199660,36200,9398,94.7
E02000008,Barking and Dagenham 007,206259,35600,12108,91.4
E02000009,Barking and Dagenham 008,202170,37800,9689,95.9
E02000010,Barking and Dagenham 009,210533,39500,9182,74.7
E02000011,Barking and Dagenham 010,220542,43500,6572,100.7
E02000012,Barking and Dagenham 011,302852,50800,10661,77.2
E02000013,Barking and Dagenham 012,220075,39100,8685,99.3
E02000014,Barking and Dagenham 013,207631,38100,9659,87.6
E02000015,Barking and Dagenham 014,182340,38800,7708,93.1
E02000016,Barking and Dagenham 015,175455,41400,8470,110.8
E02000017,Barking and Dagenham 016,240790,49100,8894,155
E02000018,Barking and Dagenham 017,206049,35800,9229,97.6
E02000019,Barking and Dagenham 018,204342,40100,8980,105.9
E02000020,Barking and Dagenham 019,209804,40700,11016,100.9
E02000021,Barking and Dagenham 020,194941,38800,8628,98.3
E02000022,Barking and Dagenham 021,169302,34100,8555,100.5
E02000023,Barking and Dagenham 022,220343,35400,6644,140.5
E02006799,Barking and Dagenham 023,225929,37200,10774,105.4
E02000024,Barnet 001,502060,63400,10813,56.1
E02000025,Barnet 002,380386,49900,8326,84.8
E02000026,Barnet 003,447380,54700,6586,66.7
E02000027,Barnet 004,385231,47000,9938,50.5
E02000028,Barnet 005,412947,55500,6544,63.3
E02000029,Barnet 006,363786,48200,8908,64.6
E02000030,Barnet 007,893128,59400,9404,48.9
E02000031,Barnet 008,623948,56400,7486,75.9
E02000032,Barnet 009,552516,56000,8043,47
E02000033,Barnet 010,362555,48600,8859,86.9
E02000034,Barnet 011,411318,51100,8854,62.1
E02000035,Barnet 012,471078,52100,8426,53.6
E02000036,Barnet 013,388765,49700,11347,70.1
E02000037,Barnet 014,482230,55900,9563,68.1
E02000038,Barnet 015,442270,55000,11090,66.5
E02000039,Barnet 016,623261,63000,6941,65.5
E02000040,Barnet 017,698445,55100,7309,66.1
E02000041,Barnet 018,433124,47600,9471,91.9
E02000042,Barnet 019,416716,50900,11438,72.6
E02000043,Barnet 020,621055,69600,7844,65.8
E02000044,Barnet 021,414590,48900,8509,74.5
E02000045,Barnet 022,382553,48900,10825,74
E02000046,Barnet 023,471653,55500,7306,74.3
E02000047,Barnet 024,267313,44400,12058,92.7
E02000048,Barnet 025,584047,55000,10163,94.1
E02000049,Barnet 026,257198,36100,8860,81.6
E02000050,Barnet 027,443905,50000,10685,73.5
E02000051,Barnet 028,738538,51200,8978,70.8
E02000052,Barnet 029,516066,60700,10285,75.4
E02000053,Barnet 030,308201,47900,11393,98
E02000054,Barnet 031,402288,52500,7593,85.9
E02000055,Barnet 032,481014,48800,11739,90.5
E02000056,Barnet 033,1816641,82600,9041,69.8
E02000057,Barnet 034,562732,53700,7718,107.9
E02000058,Barnet 035,813293,57700,10663,93.1
E02000059,Barnet 036,279772,44100,11405,82.4
E02000060,Barnet 037,758546,48800,11640,110.4
E02000061,Barnet 038,1163593,55900,8452,59.2
E02000062,Barnet 039,378911,40500,6550,78.9
E02000063,Barnet 040,446030,46300,7394,69.5
E02000064,Barnet 041,769590,45500,6468,65.6
E02000065,Bexley 001,190418,44100,8393,107.9
E02000066,Bexley 002,197615,37700,10226,76
E02000067,Bexley 003,184535,41000,9501,89
E02000068,Bexley 004,179517,40900,7806,84.2
E02000069,Bexley 005,211252,44100,6212,74.4
E02000070,Bexley 006,262086,50900,8007,52.7
E02000071,Bexley 007,241334,46800,7501,62.1
E02000072,Bexley 008,203969,40000,11503,90.3
E02000073,Bexley 009,306207,57900,10817,53.7
E02000074,Bexley 010,213173,39900,7877,78.4
E02000075,Bexley 011,312894,51000,8193,42
E02000077,Bexley 013,264531,53000,8209,52.7
E02000078,Bexley 014,263675,52000,7822,54.2
E02000079,Bexley 015,256507,48500,8291,51.4
E02000080,Bexley 016,270349,48400,9740,60.5
E02000081,Bexley 017,261074,48200,7589,50.8
E02000082,Bexley 018,293748,54500,9136,51.8
E02000083,Bexley 019,236648,44700,10742,53.4
E02000084,Bexley 020,333807,55900,10990,64.8
E02000085,Bexley 021,271417,51700,8116,50.4
E02000086,Bexley 022,305004,55700,7416,63.9
