MSOA11CD,MSOA,residual
E02000001,City of London 001,-282600.9902
E02000002,Barking and Dagenham 001,42058.16207
E02000003,Barking and Dagenham 002,-142610.1469
E02000004,Barking and Dagenham 003,-191185.1882
E02000005,Barking and Dagenham 004,-75517.72166
E02000007,Barking and Dagenham 006,69191.29075
E02000008,Barking and Dagenham 007,78023.75345
E02000009,Barking and Dagenham 008,42946.15521
E02000010,Barking and Dagenham 009,-45539.19449
E02000011,Barking and Dagenham 010,-39745.71805
E02000012,Barking and Dagenham 011,-174269.4327
E02000013,Barking and Dagenham 012,44458.34735
E02000014,Barking and Dagenham 013,17913.53971
E02000015,Barking and Dagenham 014,-5349.025293
E02000016,Barking and Dagenham 015,-12849.72749
E02000017,Barking and Dagenham 016,27131.87385
E02000018,Barking and Dagenham 017,92100.82738
E02000019,Barking and Dagenham 018,28016.23701
E02000020,Barking and Dagenham 019,6576.586393
E02000021,Barking and Dagenham 020,22339.0304
E02000022,Barking and Dagenham 021,98318.80688
E02000023,Barking and Dagenham 022,240614.0169
E02006799,Barking and Dagenham 023,106726.4173
E02000024,Barnet 001,-291809.4179
E02000025,Barnet 002,-56075.25029
E02000026,Barnet 003,-139513.8223
E02000027,Barnet 004,-93512.18469
E02000028,Barnet 005,-199982.2512
E02000029,Barnet 006,-97825.13723
E02000030,Barnet 007,158875.4535
E02000031,Barnet 008,29985.48905
E02000032,Barnet 009,-118643.9384
E02000033,Barnet 010,-41433.58041
E02000034,Barnet 011,-116194.7755
E02000035,Barnet 012,-101718.9066
E02000036,Barnet 013,-87068.80632
E02000037,Barnet 014,-124674.504
E02000038,Barnet 015,-151230.589
E02000039,Barnet 016,-134725.5779
E02000040,Barnet 017,101757.3631
E02000041,Barnet 018,64025.23612
E02000042,Barnet 019,-75906.60813
E02000043,Barnet 020,-269443.839
E02000044,Barnet 021,-31900.19691
E02000045,Barnet 022,-65468.82712
E02000046,Barnet 023,-108864.0843
E02000047,Barnet 024,-34951.23828
E02000048,Barnet 025,71784.79533
E02000049,Barnet 026,90034.86741
E02000050,Barnet 027,-28032.38841
E02000051,Barnet 028,234513.3814
E02000052,Barnet 029,-166299.5693
E02000053,Barnet 030,-49025.20872
E02000054,Barnet 031,-83643.40707
E02000055,Barnet 032,83513.23239
E02000056,Barnet 033,675212.4813
E02000057,Barnet 034,117303.6951
E02000058,Barnet 035,243666.9227
E02000059,Barnet 036,-46729.71252
E02000060,Barnet 037,419477.7398
E02000061,Barnet 038,530353.1965
E02000062,Barnet 039,114970.6758
E02000063,Barnet 040,37339.95791
E02000064,Barnet 041,365472.0758
E02000065,Bexley 001,-61060.63464
E02000066,Bexley 002,-18306.12326
E02000067,Bexley 003,-59857.11501
E02000068,Bexley 004,-76785.17391
E02000069,Bexley 005,-138599.9315
E02000070,Bexley 006,-289106.0952
E02000071,Bexley 007,-199342.8877
E02000072,Bexley 008,-16326.25516
E02000073,Bexley 009,-383648.8224
E02000074,Bexley 010,-39967.79009
E02000075,Bexley 011,-271929.328
E02000077,Bexley 013,-329175.1965
E02000078,Bexley 014,-305309.4595
E02000079,Bexley 015,-250066.7794
E02000080,Bexley 016,-207233.2854
E02000081,Bexley 017,-241175.1135
E02000082,Bexley 018,-332853.2131
E02000083,Bexley 019,-187226.6904
E02000084,Bexley 020,-282932.581
E02000085,Bexley 021,-302567.3144
E02000086,Bexley 022,-310326.0444
E02000087,Bexley 023,-341095.1624
E02000088,Bexley 024,-426942.5747
E02000089,Bexley 025,-380752.1693
E02000090,Bexley 026,-257725.9538
E02000091,Bexley 027,-131979.424
E02000092,Bexley 028,-91067.48745
E02006785,Bexley 029,-50382.38079
E02000093,Brent 001,-90343.7287
E02000094,Brent 002,-6810.253235
E02000095,Brent 003,-56927.33944
E02000096,Brent 004,-154557.4751
E02000097,Brent 005,-23280.83949
E02000098,Brent 006,139520.6749
E02000099,Brent 007,16438.27858
E02000100,Brent 008,-131954.8728
E02000101,Brent 009,233695.3423
E02000102,Brent 010,37572.87102
E02000103,Brent 011,101810.5651
E02000104,Brent 012,-71932.46321
E02000105,Brent 013,-31791.75316
E02000106,Brent 014,257024.2108
E02000107,Brent 015,158452.2468
E02000108,Brent 016,29773.91763
E02000109,Brent 017,-30538.84197
E02000110,Brent 018,143107.3295
E02000111,Brent 019,-25438.54109
E02000112,Brent 020,-19272.85254
E02000113,Brent 021,96668.35029
E02000114,Brent 022,150247.7164
E02000115,Brent 023,132399.3657
E02000116,Brent 024,274751.0899
E02000117,Brent 025,224014.1173
E02000118,Brent 026,-46562.37683
E02000119,Brent 027,88179.12832
E02000120,Brent 028,142703.6473
E02000121,Brent 029,-55202.41943
E02000122,Brent 030,346258.7236
E02000123,Brent 031,327011.1253
E02000124,Brent 032,429315.5733
E02000125,Brent 033,230481.0292
E02000126,Brent 034,238784.3691
E02000127,Bromley 001,-39404.95741
E02000128,Bromley 002,-265597.0914
E02000130,Bromley 004,-121051.5338
E02000131,Bromley 005,-42048.47379
E02000132,Bromley 006,-190448.4896
E02000133,Bromley 007,-301209.996
E02000134,Bromley 008,-207551.4331
