GSS_CODE,London_borough,housing_price,Personal_wellbeing_average_score,mean_income,median_income,employment_rate,population,OA_percentage_metro,OA_percentage_walk,fertility_rate,gcse_results,IMD_score
E09000001,City of London,797505,3.1,128000,54200,87.2,9721,14.33,40.17,60,53,11.15
E09000002,Barking & Dagenham,298338,2.82,29400,25700,69.8,212906,13.01,3.71,77,49.7,34.2
E09000003,Barnet,520524,3.19,51600,30700,73.9,395869,17.32,4.1,62,60.1,16.64
E09000004,Bexley,336988,3.21,36000,28000,75.6,248287,1.67,3.7,60,53.5,16.71
E09000005,Brent,474732,2.4,37800,26200,72.8,329771,18.15,4.56,73,53.1,30.5
E09000006,Bromley,436486,2.88,48200,33700,79.3,332336,2.14,4.2,61,54.5,14.95
E09000007,Camden,843067,3.3,96900,38200,70.2,270029,21.6,10,37,52.2,25.43
E09000008,Croydon,365678,2.93,37800,29400,76.1,341806,4.28,4.85,67,48.9,22.76
E09000009,Ealing,472620,3.4,42700,28200,73,333794,17.8,4.75,70,53.5,25.01
E09000010,Enfield,392674,2.96,39500,28300,65.9,287942,9.56,4.02,66,49.8,26.06
E09000011,Greenwich,393279,2.98,44700,30100,76.8,281120,9.15,4.09,64,50.2,31.94
E09000012,Hackney,554933,3.04,47200,32400,72.4,185143,12.4,7.39,55,53.2,42.89
E09000013,Hammersmith & Fulham,718997,3.45,75900,35800,75.8,268647,26.65,8.71,49,56.1,27.48
E09000014,Haringey,546130,3.07,48600,28300,76.9,251160,23.58,4.1,60,51.4,36.1
E09000015,Harrow,449347,2.34,41500,29500,68.6,259552,16.5,4.22,74,53.4,15.49
E09000016,Havering,364652,3.03,38100,29800,75.2,306870,6.34,4.02,63,51.9,16.63
E09000017,Hillingdon,404444,3.07,37300,28100,72.4,271523,9.12,4.57,65,52.1,19.81
E09000018,Hounslow,401072,3.14,41700,27500,71.8,242467,10.37,5,69,52.6,21.84
E09000019,Islington,633667,3.23,66100,36400,77.1,156129,19.23,10.24,39,49.7,35.87
E09000020,Kensington & Chelsea,1241423,3.69,185000,42100,65.9,177507,23.39,8.29,51,58,23.31
E09000021,Kingston upon Thames,487328,2.81,50500,33500,78.2,326034,5.05,6.75,51,58.9,11.66
E09000022,Lambeth,508149,3.67,49100,31900,78.2,305842,20.95,5.49,44,49.3,31.24
E09000023,Lewisham,409017,3.37,41100,30100,79.9,206548,10.43,4.31,60,48.4,30.97
E09000024,Merton,505481,3.13,55300,30300,80.3,353134,16.57,4.92,65,53.1,14.56
E09000025,Newham,363993,3.16,31700,24600,71.1,305222,23.04,4.07,68,53.1,41.84
E09000026,Redbridge,411968,3.05,38500,28900,70.2,198019,18.98,3.64,71,56,20.37
E09000027,Richmond upon Thames,649443,3.34,77400,38900,81.3,318830,10.14,5.89,58,57.5,10.12
E09000028,Southwark,499370,3.61,53400,33500,78.1,206349,12.95,7.79,49,53.7,29.73
E09000029,Sutton,371993,2.64,40200,30200,78.5,324745,3.82,5.58,62,61.3,15.43
E09000030,Tower Hamlets,438287,2.77,50100,32700,71.4,276983,23.22,10.9,48,50.1,39.59
E09000031,Waltham Forest,430835,2.98,34900,27700,74.4,329677,21.61,4.24,73,50,35.44
E09000032,Wandsworth,588496,3.15,72400,38900,80.5,261317,20.74,5.55,48,52.7,21.46
E09000033,Westminster,955999,3.36,118000,39900,71.3,386710,21.36,12.45,40,57.1,24.59
