GSS_CODE,London_borough,residual
E09000001,City of London,-10377.79029
E09000002,Barking & Dagenham,-39010.40235
E09000003,Barnet,13761.77059
E09000004,Bexley,-24689.35165
E09000005,Brent,63561.46406
E09000006,Bromley,7986.064118
E09000007,Camden,38482.4158
E09000008,Croydon,626.3138065
E09000009,Ealing,30264.5835
E09000010,Enfield,-7128.785145
E09000011,Greenwich,-38486.80326
E09000012,Hackney,89459.74976
E09000013,Hammersmith & Fulham,29677.83088
E09000014,Haringey,26899.23586
E09000015,Harrow,25303.7453
E09000016,Havering,-21238.41502
E09000017,Hillingdon,18012.98692
E09000018,Hounslow,-6696.230505
E09000019,Islington,15122.31713
E09000020,Kensington & Chelsea,-39627.50169
E09000021,Kingston upon Thames,24207.18448
E09000022,Lambeth,-28313.89687
E09000023,Lewisham,-14929.4195
E09000024,Merton,-9219.55809
E09000025,Newham,-43676.90355
E09000026,Redbridge,-12040.94012
E09000027,Richmond upon Thames,26785.40737
E09000028,Southwark,-12329.9373
E09000029,Sutton,-11591.30591
E09000030,Tower Hamlets,-87956.8121
E09000031,Waltham Forest,21866.47027
E09000032,Wandsworth,-69221.39339
E09000033,Westminster,47700.5808
