CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000001,City of London 001,894046,79700 ,8072 ,37.9
E02000166,Camden 001,1013792,55000 ,8238 ,39.3
E02000167,Camden 002,1782611,81600 ,8251 ,64.1
E02000168,Camden 003,893129,58100 ,8781 ,47.4
E02000169,Camden 004,1596253,75900 ,8555 ,67.1
E02000170,Camden 005,884116,65400 ,8751 ,61.6
E02000171,Camden 006,968391,56500 ,8408 ,56.1
E02000172,Camden 007,597580,41600 ,11148 ,57.1
E02000173,Camden 008,1356084,72200 ,8504 ,63.8
E02000174,Camden 009,688052,50300 ,9105 ,45.7
E02000175,Camden 010,702019,59300 ,9479 ,40.7
E02000176,Camden 011,1065236,70000 ,7021 ,70.7
E02000177,Camden 012,634960,44700 ,9586 ,60.5
E02000178,Camden 013,526199,43800 ,9565 ,44.9
E02000179,Camden 014,1011287,56400 ,6756 ,68.0
E02000180,Camden 015,669353,49000 ,8334 ,52.5
E02000181,Camden 016,869456,62400 ,8238 ,60.1
E02000182,Camden 017,1132960,63100 ,7503 ,73.9
E02000183,Camden 018,1535883,64600 ,8115 ,57.8
E02000184,Camden 019,620556,50600 ,8862 ,45.5
E02000185,Camden 020,503098,45700 ,8981 ,67.6
E02000186,Camden 021,1889337,52500 ,6881 ,40.7
E02000187,Camden 022,678005,41200 ,8960 ,59.3
E02000188,Camden 023,432804,40600 ,8252 ,53.8
E02000189,Camden 024,622827,44300 ,6237 ,32.8
E02000190,Camden 025,751829,41300 ,8000 ,28.5
E02000191,Camden 026,784357,57700 ,8383 ,15.5
E02000192,Camden 027,864109,50600 ,7733 ,47.0
E02000193,Camden 028,892064,59000 ,8219 ,27.2
E02000554,Islington 001,480166,38900 ,9459 ,52.1
E02000555,Islington 002,534917,48500 ,9534 ,57.5
E02000556,Islington 003,537916,51000 ,10231 ,52.2
E02000557,Islington 004,539628,49500 ,8333 ,71.4
E02000558,Islington 005,420169,39100 ,9698 ,69.1
E02000559,Islington 006,699486,59700 ,9725 ,42.7
E02000560,Islington 007,506199,47300 ,7756 ,64.1
E02000561,Islington 008,766384,64200 ,8014 ,59.0
E02000562,Islington 009,706099,56800 ,8429 ,42.8
E02000563,Islington 010,439468,43000 ,8617 ,73.4
E02000564,Islington 011,491793,52700 ,11502 ,65.4
E02000565,Islington 012,597048,46800 ,8614 ,60.0
E02000566,Islington 013,991794,67300 ,8823 ,61.2
E02000567,Islington 014,734991,59600 ,11218 ,66.8
E02000568,Islington 015,420724,41800 ,11350 ,52.4
E02000569,Islington 016,846987,50900 ,10537 ,49.3
