CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000895,Waltham Forest 001,341992,44600 ,8035 ,62.6
E02000896,Waltham Forest 002,360679,51300 ,8936 ,75.3
E02000897,Waltham Forest 003,314504,46100 ,8386 ,94.6
E02000898,Waltham Forest 004,318244,48200 ,7861 ,68.2
E02000899,Waltham Forest 005,334042,46600 ,8185 ,71.9
E02000900,Waltham Forest 006,257787,43200 ,8388 ,77.2
E02000901,Waltham Forest 007,349548,54600 ,9655 ,51.4
E02000902,Waltham Forest 008,276070,45400 ,8521 ,84.2
E02000903,Waltham Forest 009,312590,37400 ,9140 ,79.3
E02000904,Waltham Forest 010,351959,49100 ,8586 ,107.2
E02000905,Waltham Forest 011,375988,48100 ,10059 ,91.9
E02000906,Waltham Forest 012,349401,45000 ,9599 ,81.9
E02000907,Waltham Forest 013,328342,37100 ,10749 ,80.3
E02000908,Waltham Forest 014,297769,40300 ,11762 ,109.6
E02000909,Waltham Forest 015,424052,51900 ,8908 ,103.5
E02000910,Waltham Forest 016,387332,48600 ,10932 ,101.1
E02000911,Waltham Forest 017,322724,45000 ,11438 ,114.8
E02000912,Waltham Forest 018,339513,44700 ,9346 ,93.3
E02000913,Waltham Forest 019,386170,44200 ,8941 ,88.7
E02000914,Waltham Forest 020,312436,37700 ,11142 ,122.7
E02000915,Waltham Forest 021,374823,49400 ,9082 ,81.1
E02000916,Waltham Forest 022,291447,43400 ,9740 ,114.0
E02000917,Waltham Forest 023,299269,47400 ,9887 ,103.9
E02000918,Waltham Forest 024,350349,40900 ,9361 ,101.4
E02000919,Waltham Forest 025,355570,43700 ,9516 ,100.1
E02000920,Waltham Forest 026,282103,38700 ,10079 ,78.0
E02000921,Waltham Forest 027,326265,38400 ,11201 ,83.8
E02000922,Waltham Forest 028,316852,38400 ,10585 ,96.3
E02000002,Barking and Dagenham 001,218348,38600 ,7235 ,95.6
E02000003,Barking and Dagenham 002,233599,46400 ,10732 ,81.3
E02000004,Barking and Dagenham 003,239080,45300 ,6419 ,55.3
E02000005,Barking and Dagenham 004,222851,41000 ,9056 ,70.6
E02000007,Barking and Dagenham 006,199660,36200 ,9398 ,94.7
E02000008,Barking and Dagenham 007,206259,35600 ,12108 ,91.4
E02000009,Barking and Dagenham 008,202170,37800 ,9689 ,95.9
E02000010,Barking and Dagenham 009,210533,39500 ,9182 ,74.7
E02000011,Barking and Dagenham 010,220542,43500 ,6572 ,100.7
E02000012,Barking and Dagenham 011,302852,50800 ,10661 ,77.2
E02000013,Barking and Dagenham 012,220075,39100 ,8685 ,99.3
E02000014,Barking and Dagenham 013,207631,38100 ,9659 ,87.6
E02000015,Barking and Dagenham 014,182340,38800 ,7708 ,93.1
E02000016,Barking and Dagenham 015,175455,41400 ,8470 ,110.8
E02000017,Barking and Dagenham 016,240790,49100 ,8894 ,155.0
E02000018,Barking and Dagenham 017,206049,35800 ,9229 ,97.6
E02000019,Barking and Dagenham 018,204342,40100 ,8980 ,105.9
E02000020,Barking and Dagenham 019,209804,40700 ,11016 ,100.9
E02000021,Barking and Dagenham 020,194941,38800 ,8628 ,98.3
E02000022,Barking and Dagenham 021,169302,34100 ,8555 ,100.5
E02000023,Barking and Dagenham 022,220343,35400 ,6644 ,140.5
E02006799,Barking and Dagenham 023,225929,37200 ,10774 ,105.4
E02000065,Bexley 001,190418,44100 ,8393 ,107.9
E02000066,Bexley 002,197615,37700 ,10226 ,76.0
E02000067,Bexley 003,184535,41000 ,9501 ,89.0
E02000068,Bexley 004,179517,40900 ,7806 ,84.2
E02000069,Bexley 005,211252,44100 ,6212 ,74.4
E02000070,Bexley 006,262086,50900 ,8007 ,52.7
E02000071,Bexley 007,241334,46800 ,7501 ,62.1
E02000072,Bexley 008,203969,40000 ,11503 ,90.3
E02000073,Bexley 009,306207,57900 ,10817 ,53.7
E02000074,Bexley 010,213173,39900 ,7877 ,78.4
E02000075,Bexley 011,312894,51000 ,8193 ,42.0
E02000077,Bexley 013,264531,53000 ,8209 ,52.7
E02000078,Bexley 014,263675,52000 ,7822 ,54.2
E02000079,Bexley 015,256507,48500 ,8291 ,51.4
E02000080,Bexley 016,270349,48400 ,9740 ,60.5
E02000081,Bexley 017,261074,48200 ,7589 ,50.8
E02000082,Bexley 018,293748,54500 ,9136 ,51.8
E02000083,Bexley 019,236648,44700 ,10742 ,53.4
E02000084,Bexley 020,333807,55900 ,10990 ,64.8
E02000085,Bexley 021,271417,51700 ,8116 ,50.4
E02000086,Bexley 022,305004,55700 ,7416 ,63.9
E02000087,Bexley 023,369916,58100 ,7711 ,47.8
E02000088,Bexley 024,327435,60900 ,7764 ,52.3
E02000089,Bexley 025,349316,59600 ,7981 ,51.7
E02000090,Bexley 026,271892,50000 ,9058 ,53.9
E02000091,Bexley 027,303050,48700 ,10009 ,77.1
E02000092,Bexley 028,283179,42700 ,6653 ,56.5
E02006785,Bexley 029,250875,43300 ,6602 ,85.4
E02000313,Greenwich 001,160391,37900 ,7182 ,101.8
E02000314,Greenwich 002,198342,46900 ,15154 ,148.6
E02000315,Greenwich 003,225278,35300 ,9532 ,112.3
E02000316,Greenwich 004,279864,45200 ,12388 ,150.1
E02000317,Greenwich 005,265655,36700 ,8518 ,84.4
E02000318,Greenwich 006,237391,35300 ,10613 ,91.1
E02000319,Greenwich 007,239240,40300 ,11743 ,111.3
E02000320,Greenwich 008,264952,43800 ,7095 ,80.3
E02000321,Greenwich 009,220433,34700 ,7509 ,105.9
E02000323,Greenwich 011,267238,40200 ,10846 ,75.7
E02000324,Greenwich 012,337374,42700 ,7712 ,99.5
E02000326,Greenwich 014,405223,56100 ,7305 ,91.8
E02000327,Greenwich 015,234528,41000 ,6809 ,81.2
E02000328,Greenwich 016,539351,60400 ,6725 ,95.3
E02000329,Greenwich 017,258137,43800 ,6361 ,78.0
E02000331,Greenwich 019,281089,47400 ,8229 ,66.1
E02000332,Greenwich 020,290808,50100 ,7510 ,70.1
E02000333,Greenwich 021,544556,67000 ,6419 ,82.9
E02000334,Greenwich 022,308633,46300 ,6635 ,88.0
E02000335,Greenwich 023,328994,54300 ,6647 ,71.5
E02000337,Greenwich 025,272021,43700 ,8236 ,75.3
E02000339,Greenwich 027,402222,52600 ,6110 ,68.4
E02000340,Greenwich 028,353322,48700 ,6226 ,62.1
E02000341,Greenwich 029,280782,40500 ,8024 ,24.0
E02000342,Greenwich 030,298775,41800 ,6410 ,70.4
E02000343,Greenwich 031,337967,46200 ,6811 ,79.6
E02000344,Greenwich 032,337285,51800 ,6602 ,73.0
E02006786,Greenwich 033,240299,39900 ,7380 ,77.5
E02006927,Greenwich 034,459465,54100 ,9074 ,89.4
E02006928,Greenwich 035,462623,47700 ,8731 ,58.9
E02006929,Greenwich 036,477567,53800 ,8023 ,75.2
E02006930,Greenwich 037,386279,57500 ,6835 ,49.6
E02006931,Greenwich 038,596664,65600 ,9284 ,174.8
E02000345,Hackney 001,380414,40700 ,9330 ,51.3
E02000346,Hackney 002,460654,34800 ,6288 ,154.1
E02000347,Hackney 003,443310,37900 ,8471 ,131.1
E02000348,Hackney 004,420619,34000 ,8517 ,135.7
E02000350,Hackney 006,520697,52000 ,10072 ,76.7
E02000351,Hackney 007,504311,52300 ,9079 ,57.7
E02000352,Hackney 008,595052,51200 ,7108 ,81.2
E02000353,Hackney 009,616324,59700 ,8093 ,55.1
E02000354,Hackney 010,432830,38700 ,10396 ,91.6
E02000355,Hackney 011,568232,46000 ,8888 ,77.8
E02000356,Hackney 012,625276,55000 ,7551 ,62.5
E02000357,Hackney 013,283571,39200 ,6590 ,96.7
E02000358,Hackney 014,500159,44600 ,11707 ,69.2
E02000359,Hackney 015,561510,45400 ,6708 ,66.0
E02000360,Hackney 016,431533,42200 ,11573 ,88.3
E02000361,Hackney 017,460590,47800 ,8081 ,73.3
E02000362,Hackney 018,355130,38200 ,6827 ,71.9
E02000363,Hackney 019,356646,33300 ,11413 ,86.5
E02000364,Hackney 020,747757,52200 ,9343 ,64.1
E02000365,Hackney 021,637801,49900 ,14350 ,60.6
E02000366,Hackney 022,508279,45300 ,8898 ,80.1
E02000367,Hackney 023,522052,48700 ,10725 ,75.1
E02000368,Hackney 024,432891,40800 ,9894 ,55.9
E02000369,Hackney 025,442568,42500 ,13124 ,79.4
E02000370,Hackney 026,580999,49300 ,8796 ,63.3
E02000371,Hackney 027,660248,48000 ,14356 ,52.7
E02006918,Hackney 028,326158,39100 ,8663 ,77.5
E02006921,Hackney 029,316188,36600 ,8309 ,76.6
E02000464,Havering 001,229223,38900 ,6796 ,62.1
E02000465,Havering 002,237480,43200 ,8429 ,72.4
E02000466,Havering 003,254222,43700 ,8508 ,88.4
E02000467,Havering 004,198429,36800 ,10142 ,61.6
E02000468,Havering 005,270179,45800 ,8021 ,65.3
E02000469,Havering 006,208868,38400 ,6921 ,54.3
E02000470,Havering 007,301997,53100 ,8244 ,35.3
E02000471,Havering 008,333101,54300 ,7564 ,77.3
E02000472,Havering 009,252795,48900 ,9133 ,59.7
E02000473,Havering 010,300302,50500 ,9925 ,80.5
E02000474,Havering 011,239498,45400 ,8751 ,73.8
E02000475,Havering 012,334881,53200 ,9564 ,124.8
E02000476,Havering 013,224874,43400 ,9157 ,56.5
E02000477,Havering 014,334120,56000 ,9529 ,32.7
E02000478,Havering 015,646003,60300 ,5922 ,75.6
E02000479,Havering 016,226013,44800 ,8829 ,80.1
E02000480,Havering 017,209857,45900 ,10922 ,60.7
E02000481,Havering 018,311160,51100 ,8081 ,47.0
E02000482,Havering 019,471080,67400 ,6483 ,60.2
E02000483,Havering 020,265425,46600 ,7924 ,43.6
E02000484,Havering 021,306734,52600 ,8368 ,48.4
E02000485,Havering 022,287776,51600 ,8152 ,44.3
E02000486,Havering 023,278344,50400 ,7503 ,36.6
E02000487,Havering 024,499962,81300 ,7802 ,37.1
E02000488,Havering 025,292133,57800 ,7508 ,59.5
E02000489,Havering 026,273840,46500 ,8150 ,54.7
E02000490,Havering 027,240447,44400 ,7882 ,65.3
E02000491,Havering 028,242546,39900 ,8952 ,56.5
E02000492,Havering 029,277842,48500 ,6449 ,71.0
E02000493,Havering 030,203125,41700 ,6363 ,39.7
E02000653,Lewisham 001,341691,43300 ,9481 ,75.7
E02000654,Lewisham 002,286274,38700 ,8451 ,80.2
E02000655,Lewisham 003,268977,42600 ,8834 ,70.0
E02000657,Lewisham 005,363658,41300 ,9793 ,55.5
E02000658,Lewisham 006,481547,46700 ,8662 ,64.7
E02000659,Lewisham 007,575522,51500 ,8052 ,68.9
E02000660,Lewisham 008,371061,47900 ,8861 ,86.8
E02000661,Lewisham 009,461452,59400 ,6804 ,79.6
E02000662,Lewisham 010,387082,45300 ,8791 ,74.8
E02000663,Lewisham 011,423015,52100 ,7371 ,65.8
E02000664,Lewisham 012,306243,39600 ,11240 ,85.1
E02000665,Lewisham 013,433951,50900 ,8656 ,78.1
E02000666,Lewisham 014,408009,50300 ,7406 ,69.4
E02000667,Lewisham 015,482399,54200 ,6888 ,73.9
E02000668,Lewisham 016,438719,52700 ,7105 ,75.3
E02000669,Lewisham 017,326540,49800 ,7800 ,105.3
E02000670,Lewisham 018,279671,38200 ,6786 ,90.9
E02000671,Lewisham 019,434202,50600 ,8536 ,89.7
E02000672,Lewisham 020,284756,40700 ,8989 ,87.9
E02000673,Lewisham 021,468531,56000 ,8343 ,67.7
E02000674,Lewisham 022,329850,48900 ,8375 ,66.2
E02000675,Lewisham 023,307034,48700 ,8523 ,68.8
E02000676,Lewisham 024,405860,52000 ,7997 ,77.3
E02000677,Lewisham 025,381240,49400 ,7504 ,55.5
E02000678,Lewisham 026,220342,41200 ,6373 ,71.5
E02000679,Lewisham 027,373523,44500 ,8307 ,92.0
E02000680,Lewisham 028,379316,44300 ,7436 ,95.4
E02000681,Lewisham 029,309786,37700 ,8612 ,71.4
E02000682,Lewisham 030,269305,38800 ,8820 ,77.3
E02000683,Lewisham 031,226992,38400 ,6174 ,83.4
E02000685,Lewisham 033,374023,45200 ,8465 ,80.9
E02000686,Lewisham 034,238426,36500 ,6841 ,65.8
E02000687,Lewisham 035,388694,47800 ,8458 ,83.1
E02006783,Lewisham 037,232187,36400 ,7401 ,88.6
E02006784,Lewisham 038,279301,36700 ,7958 ,82.2
E02006798,Lewisham 039,251156,40500 ,7840 ,102.9
E02000714,Newham 001,322708,42600 ,8356 ,89.3
E02000715,Newham 002,234144,36100 ,7588 ,112.0
E02000716,Newham 003,287031,40700 ,7681 ,111.1
E02000717,Newham 004,232699,39200 ,8609 ,91.3
E02000718,Newham 005,201582,37500 ,7154 ,107.5
E02000719,Newham 006,287547,41300 ,8242 ,105.1
E02000720,Newham 007,376038,42300 ,7626 ,113.5
E02000721,Newham 008,254886,38700 ,9865 ,85.4
E02000722,Newham 009,294556,44400 ,8413 ,106.0
E02000723,Newham 010,240549,45700 ,10829 ,107.3
E02000724,Newham 011,256290,38700 ,9789 ,97.5
E02000725,Newham 012,280453,47300 ,9162 ,74.3
E02000726,Newham 013,288165,49100 ,10708 ,124.6
E02000727,Newham 014,238324,40300 ,8598 ,95.5
E02000728,Newham 015,244333,48000 ,8390 ,98.5
E02000729,Newham 016,293801,42600 ,7193 ,128.6
E02000730,Newham 017,266218,43600 ,9170 ,108.5
E02000731,Newham 018,236705,44600 ,10590 ,109.4
E02000732,Newham 019,215764,35400 ,7901 ,95.1
E02000733,Newham 020,267615,36300 ,10159 ,101.3
E02000734,Newham 021,293681,37800 ,8203 ,93.7
E02000735,Newham 022,242856,42900 ,8077 ,91.3
E02000736,Newham 023,230094,36500 ,9012 ,110.2
E02000737,Newham 024,236047,39300 ,10123 ,127.0
E02000738,Newham 025,249453,40000 ,9007 ,78.0
E02000739,Newham 026,258135,39500 ,7350 ,81.4
E02000740,Newham 027,236587,37600 ,6983 ,107.9
E02000741,Newham 028,243367,45400 ,8658 ,126.3
E02000742,Newham 029,226752,39100 ,8667 ,95.5
E02000743,Newham 030,242901,36100 ,8760 ,112.9
E02000744,Newham 031,233027,38500 ,8778 ,78.4
E02000745,Newham 032,238426,42600 ,8333 ,97.6
E02000746,Newham 033,262197,41500 ,8006 ,89.3
E02000747,Newham 034,349378,48600 ,11471 ,89.8
E02000748,Newham 035,230854,41800 ,6421 ,98.9
E02000749,Newham 036,242700,39500 ,8390 ,125.8
E02000750,Newham 037,309551,55900 ,12060 ,56.9
E02000751,Redbridge 001,558995,63400 ,10392 ,81.8
E02000752,Redbridge 002,235761,40300 ,7206 ,71.0
E02000753,Redbridge 003,269241,44400 ,6383 ,63.1
E02000754,Redbridge 004,357320,52800 ,6600 ,52.9
E02000755,Redbridge 005,313559,49200 ,5566 ,81.0
E02000756,Redbridge 006,352570,49900 ,13065 ,83.5
E02000757,Redbridge 007,396027,58700 ,12383 ,60.0
E02000758,Redbridge 008,345141,48400 ,6084 ,76.0
E02000759,Redbridge 009,341110,53900 ,12757 ,79.2
E02000760,Redbridge 010,309955,46600 ,7220 ,50.5
E02000762,Redbridge 012,389615,54200 ,6492 ,52.9
E02000763,Redbridge 013,296515,50400 ,6981 ,85.6
E02000764,Redbridge 014,435443,60300 ,12326 ,69.9
E02000765,Redbridge 015,304369,49900 ,6582 ,56.8
E02000767,Redbridge 017,321165,51300 ,7955 ,45.9
E02000768,Redbridge 018,575580,62500 ,5777 ,73.1
E02000769,Redbridge 019,238746,48400 ,15694 ,67.5
E02000770,Redbridge 020,293915,51300 ,7871 ,88.2
E02000772,Redbridge 022,280282,49200 ,8484 ,93.4
E02000773,Redbridge 023,309874,52400 ,9896 ,77.5
E02000774,Redbridge 024,273755,49200 ,7506 ,103.8
E02000776,Redbridge 026,287770,48300 ,6803 ,99.5
E02000777,Redbridge 027,402785,56600 ,6017 ,82.3
E02000779,Redbridge 029,246884,43200 ,8326 ,73.9
E02000780,Redbridge 030,230546,46900 ,15867 ,78.6
E02000781,Redbridge 031,312851,47800 ,14513 ,65.1
E02000782,Redbridge 032,201433,40800 ,9998 ,98.1
E02000783,Redbridge 033,249814,41500 ,7519 ,103.2
E02006800,Redbridge 034,287200,49100 ,13855 ,109.1
E02006924,Redbridge 035,360695,49700 ,13307 ,101.0
E02006925,Redbridge 036,379645,56500 ,13630 ,110.1
E02000864,Tower Hamlets 001,342736,43100 ,9149 ,53.0
E02000865,Tower Hamlets 002,402047,42300 ,7693 ,86.5
E02000866,Tower Hamlets 003,478792,53900 ,10107 ,53.2
E02000867,Tower Hamlets 004,353211,57200 ,11347 ,67.5
E02000868,Tower Hamlets 005,409662,50200 ,7075 ,90.7
E02000869,Tower Hamlets 006,582694,44300 ,5930 ,51.8
E02000870,Tower Hamlets 007,411486,45300 ,6553 ,67.0
E02000871,Tower Hamlets 008,315400,39200 ,10394 ,64.2
E02000872,Tower Hamlets 009,530769,47000 ,8548 ,96.0
E02000873,Tower Hamlets 010,442027,43500 ,9705 ,69.3
E02000874,Tower Hamlets 011,389920,35400 ,7217 ,69.4
E02000875,Tower Hamlets 012,332262,44300 ,11736 ,48.1
E02000876,Tower Hamlets 013,413729,54800 ,7609 ,82.6
E02000877,Tower Hamlets 014,339765,41400 ,11284 ,66.5
E02000878,Tower Hamlets 015,626165,50800 ,11172 ,79.7
E02000879,Tower Hamlets 016,411010,44600 ,8596 ,73.6
E02000880,Tower Hamlets 017,359367,42200 ,6263 ,68.2
E02000881,Tower Hamlets 018,319196,39300 ,7709 ,71.5
E02000882,Tower Hamlets 019,371020,41300 ,9143 ,96.0
E02000883,Tower Hamlets 020,294317,39400 ,8808 ,91.7
E02000884,Tower Hamlets 021,592521,54100 ,10416 ,93.9
E02000885,Tower Hamlets 022,339055,42000 ,7413 ,58.2
E02000886,Tower Hamlets 023,530710,58400 ,8126 ,97.5
E02000887,Tower Hamlets 024,325955,43400 ,9835 ,86.5
E02000888,Tower Hamlets 025,435719,58700 ,9087 ,107.3
E02000889,Tower Hamlets 026,469025,60600 ,7504 ,101.3
E02000890,Tower Hamlets 027,804190,79100 ,5967 ,72.9
E02000891,Tower Hamlets 028,428715,78000 ,15134 ,60.2
E02000893,Tower Hamlets 030,377936,52000 ,7244 ,104.6
E02000894,Tower Hamlets 031,407295,63500 ,11053 ,110.4
E02006853,Tower Hamlets 032,440554,58700 ,8836 ,69.1
E02006854,Tower Hamlets 033,580065,105700 ,7362 ,67.1
