CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000024,Barnet 001,502060,63400 ,10813 ,56.1
E02000025,Barnet 002,380386,49900 ,8326 ,84.8
E02000026,Barnet 003,447380,54700 ,6586 ,66.7
E02000027,Barnet 004,385231,47000 ,9938 ,50.5
E02000028,Barnet 005,412947,55500 ,6544 ,63.3
E02000029,Barnet 006,363786,48200 ,8908 ,64.6
E02000030,Barnet 007,893128,59400 ,9404 ,48.9
E02000031,Barnet 008,623948,56400 ,7486 ,75.9
E02000032,Barnet 009,552516,56000 ,8043 ,47.0
E02000033,Barnet 010,362555,48600 ,8859 ,86.9
E02000034,Barnet 011,411318,51100 ,8854 ,62.1
E02000035,Barnet 012,471078,52100 ,8426 ,53.6
E02000036,Barnet 013,388765,49700 ,11347 ,70.1
E02000037,Barnet 014,482230,55900 ,9563 ,68.1
E02000038,Barnet 015,442270,55000 ,11090 ,66.5
E02000039,Barnet 016,623261,63000 ,6941 ,65.5
E02000040,Barnet 017,698445,55100 ,7309 ,66.1
E02000041,Barnet 018,433124,47600 ,9471 ,91.9
E02000042,Barnet 019,416716,50900 ,11438 ,72.6
E02000043,Barnet 020,621055,69600 ,7844 ,65.8
E02000044,Barnet 021,414590,48900 ,8509 ,74.5
E02000045,Barnet 022,382553,48900 ,10825 ,74.0
E02000046,Barnet 023,471653,55500 ,7306 ,74.3
E02000047,Barnet 024,267313,44400 ,12058 ,92.7
E02000048,Barnet 025,584047,55000 ,10163 ,94.1
E02000049,Barnet 026,257198,36100 ,8860 ,81.6
E02000050,Barnet 027,443905,50000 ,10685 ,73.5
E02000051,Barnet 028,738538,51200 ,8978 ,70.8
E02000052,Barnet 029,516066,60700 ,10285 ,75.4
E02000053,Barnet 030,308201,47900 ,11393 ,98.0
E02000054,Barnet 031,402288,52500 ,7593 ,85.9
E02000055,Barnet 032,481014,48800 ,11739 ,90.5
E02000056,Barnet 033,1816641,82600 ,9041 ,69.8
E02000057,Barnet 034,562732,53700 ,7718 ,107.9
E02000058,Barnet 035,813293,57700 ,10663 ,93.1
E02000059,Barnet 036,279772,44100 ,11405 ,82.4
E02000060,Barnet 037,758546,48800 ,11640 ,110.4
E02000061,Barnet 038,1163593,55900 ,8452 ,59.2
E02000062,Barnet 039,378911,40500 ,6550 ,78.9
E02000063,Barnet 040,446030,46300 ,7394 ,69.5
E02000064,Barnet 041,769590,45500 ,6468 ,65.6
E02000277,Enfield 001,244019,44800 ,7376 ,73.6
E02000278,Enfield 002,242145,41500 ,9350 ,99.0
E02000279,Enfield 003,214974,44200 ,12237 ,90.0
E02000280,Enfield 004,351314,50100 ,8566 ,74.6
E02000281,Enfield 005,264471,44400 ,8839 ,80.3
E02000282,Enfield 006,215415,37200 ,9270 ,98.7
E02000283,Enfield 007,305808,41800 ,8612 ,80.4
E02000284,Enfield 008,324939,52100 ,8520 ,76.7
E02000285,Enfield 009,384180,55800 ,6544 ,57.7
E02000286,Enfield 010,385748,51500 ,8329 ,72.5
E02000287,Enfield 011,899524,60300 ,6968 ,58.6
E02000288,Enfield 012,247313,43800 ,10797 ,86.4
E02000289,Enfield 013,537663,56000 ,6571 ,44.4
E02000290,Enfield 014,209181,38700 ,7255 ,95.8
E02000291,Enfield 015,279945,46600 ,9425 ,94.7
E02000292,Enfield 016,296689,48200 ,9910 ,78.1
E02000293,Enfield 017,546782,61200 ,6362 ,52.8
E02000294,Enfield 018,264867,43100 ,9209 ,72.1
E02000295,Enfield 019,419210,52400 ,8733 ,59.6
E02000296,Enfield 020,341649,45100 ,10053 ,67.3
E02000297,Enfield 021,390340,53100 ,9520 ,46.9
E02000298,Enfield 022,669089,61900 ,8104 ,55.4
E02000299,Enfield 023,247294,42800 ,9662 ,108.1
E02000300,Enfield 024,235279,41100 ,8676 ,85.7
E02000301,Enfield 025,211833,35700 ,10615 ,94.6
E02000302,Enfield 026,383272,49100 ,8582 ,77.1
E02000303,Enfield 027,267978,38300 ,8883 ,82.3
E02000304,Enfield 028,607183,59400 ,7784 ,55.4
E02000305,Enfield 029,431276,54000 ,9140 ,70.9
E02000306,Enfield 030,197446,35500 ,9657 ,127.4
E02000307,Enfield 031,293091,46800 ,9952 ,77.2
E02000308,Enfield 032,440202,45900 ,8099 ,72.7
E02000309,Enfield 033,231642,37300 ,11405 ,107.2
E02000311,Enfield 035,312153,40600 ,10481 ,92.7
E02000312,Enfield 036,392137,52000 ,11449 ,78.7
E02006793,Enfield 037,202698,34900 ,9639 ,93.9
E02000397,Haringey 001,359718,43400 ,8456 ,103.1
E02000398,Haringey 002,241766,32000 ,7302 ,81.2
E02000400,Haringey 004,412571,46300 ,8186 ,70.8
E02000401,Haringey 005,301623,36100 ,7054 ,73.1
E02000402,Haringey 006,228157,36700 ,6843 ,82.2
E02000403,Haringey 007,397970,48300 ,8006 ,83.7
E02000404,Haringey 008,312153,42600 ,7848 ,65.1
E02000405,Haringey 009,778833,68000 ,6607 ,73.7
E02000406,Haringey 010,361743,41200 ,7341 ,115.8
E02000407,Haringey 011,288535,39100 ,7876 ,87.2
E02000408,Haringey 012,261351,39500 ,8292 ,70.0
E02000409,Haringey 013,372289,34500 ,6313 ,58.9
E02000410,Haringey 014,667008,64100 ,6701 ,84.8
E02000411,Haringey 015,272634,38200 ,9447 ,74.7
E02000412,Haringey 016,358343,36500 ,7509 ,68.9
E02000413,Haringey 017,773705,56200 ,7649 ,80.4
E02000414,Haringey 018,360208,43500 ,7552 ,73.0
E02000415,Haringey 019,373828,44600 ,7142 ,76.0
E02000416,Haringey 020,413228,47500 ,7746 ,71.4
E02000417,Haringey 021,849886,64700 ,6448 ,61.4
E02000418,Haringey 022,852882,64800 ,5683 ,76.6
E02000419,Haringey 023,492781,43800 ,8934 ,92.2
E02000420,Haringey 024,340192,40500 ,7811 ,79.7
E02000421,Haringey 025,307660,35200 ,7305 ,95.7
E02000422,Haringey 026,332707,34800 ,8205 ,62.2
E02000423,Haringey 027,417912,48000 ,7446 ,57.4
E02000424,Haringey 028,632223,54100 ,7363 ,154.9
E02000425,Haringey 029,402461,38500 ,7602 ,65.0
E02000426,Haringey 030,1480738,62300 ,6281 ,57.7
E02000427,Haringey 031,489245,61500 ,7229 ,84.2
E02000428,Haringey 032,354835,39700 ,7761 ,63.1
E02000429,Haringey 033,734895,69500 ,7076 ,69.8
E02000430,Haringey 034,638237,60600 ,7571 ,51.1
E02000431,Haringey 035,944252,70200 ,6302 ,54.3
E02000432,Haringey 036,500346,52900 ,6665 ,94.5
E02006794,Haringey 037,264914,32900 ,7989 ,85.2
