CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000127,Bromley 001,279270,41700 ,8996 ,68.5
E02000128,Bromley 002,384344,57300 ,7473 ,63.1
E02000130,Bromley 004,398681,51500 ,8397 ,67.5
E02000131,Bromley 005,306988,43900 ,9694 ,73.3
E02000132,Bromley 006,340747,53700 ,9392 ,78.7
E02000133,Bromley 007,656782,75200 ,10472 ,81.3
E02000134,Bromley 008,332657,53400 ,11453 ,73.6
E02000135,Bromley 009,256904,37500 ,10146 ,82.3
E02000136,Bromley 010,464477,52300 ,5781 ,68.2
E02000137,Bromley 011,389843,56900 ,8182 ,69.0
E02000138,Bromley 012,449272,65000 ,8289 ,62.2
E02000139,Bromley 013,430947,57200 ,7602 ,62.9
E02000140,Bromley 014,240546,38700 ,8203 ,62.0
E02000141,Bromley 015,308694,48700 ,7303 ,77.1
E02000142,Bromley 016,446012,61300 ,8599 ,71.5
E02000144,Bromley 018,382421,60200 ,9168 ,57.0
E02000145,Bromley 019,229667,44700 ,8499 ,79.7
E02000146,Bromley 020,360800,56800 ,9083 ,69.1
E02000147,Bromley 021,614960,69500 ,8067 ,92.7
E02000148,Bromley 022,519249,67600 ,6547 ,83.2
E02000149,Bromley 023,304345,46900 ,7865 ,45.0
E02000150,Bromley 024,482582,61100 ,8639 ,75.4
E02000151,Bromley 025,511559,74900 ,7605 ,64.1
E02000152,Bromley 026,327804,47900 ,7201 ,45.5
E02000153,Bromley 027,484086,71300 ,7910 ,63.6
E02000154,Bromley 028,378213,57300 ,8216 ,61.9
E02000155,Bromley 029,288756,47900 ,6981 ,37.4
E02000156,Bromley 030,473686,60900 ,12320 ,63.4
E02000157,Bromley 031,433979,73000 ,8126 ,58.6
E02000158,Bromley 032,380330,53300 ,7673 ,51.6
E02000159,Bromley 033,656961,70100 ,6947 ,39.2
E02000160,Bromley 034,454096,61400 ,7977 ,77.1
E02000161,Bromley 035,381830,66200 ,8542 ,61.6
E02000162,Bromley 036,369023,50700 ,6995 ,40.5
E02000163,Bromley 037,616870,62000 ,7741 ,51.0
E02000165,Bromley 039,269974,59200 ,7099 ,57.9
E02006782,Bromley 040,333051,48900 ,7708 ,61.7
E02006787,Bromley 041,386244,58900 ,7921 ,72.5
E02006789,Bromley 042,394769,52600 ,6466 ,57.4
E02000194,Croydon 001,357601,47700 ,9234 ,85.7
E02000195,Croydon 002,377072,49500 ,9550 ,85.4
E02000196,Croydon 003,358314,46400 ,7723 ,66.3
E02000197,Croydon 004,345823,44700 ,9411 ,76.9
E02000198,Croydon 005,249476,40800 ,8465 ,69.7
E02000199,Croydon 006,267471,46400 ,8511 ,77.0
E02000200,Croydon 007,241837,45200 ,8716 ,79.7
E02000201,Croydon 008,230628,41700 ,8982 ,82.1
E02000202,Croydon 009,241629,44000 ,8515 ,64.2
E02000203,Croydon 010,239484,42800 ,7848 ,74.8
E02000204,Croydon 011,248959,45700 ,9569 ,61.2
E02000206,Croydon 013,214251,38700 ,9772 ,59.7
E02000207,Croydon 014,239575,44400 ,9251 ,85.6
E02000208,Croydon 015,210391,39100 ,10425 ,79.1
E02000209,Croydon 016,229208,44000 ,8652 ,115.2
E02000210,Croydon 017,262440,46800 ,8402 ,81.1
E02000211,Croydon 018,343279,52400 ,8142 ,70.5
E02000212,Croydon 019,231568,42600 ,8868 ,48.8
E02000213,Croydon 020,238973,40200 ,9859 ,106.4
E02000214,Croydon 021,358476,57600 ,6480 ,82.7
E02000215,Croydon 022,252638,49700 ,10775 ,54.7
E02000216,Croydon 023,334805,55800 ,6796 ,82.8
E02000217,Croydon 024,234659,43000 ,10979 ,59.7
E02000218,Croydon 025,346278,46200 ,6770 ,91.0
E02000219,Croydon 026,401940,57500 ,7698 ,66.0
E02000220,Croydon 027,242452,46100 ,10838 ,43.0
E02000221,Croydon 028,270756,42300 ,10577 ,90.7
E02000222,Croydon 029,314348,53100 ,8275 ,82.4
E02000223,Croydon 030,219285,33300 ,8361 ,64.5
E02000224,Croydon 031,282869,54300 ,7955 ,68.8
E02000225,Croydon 032,240297,39800 ,7619 ,86.8
E02000226,Croydon 033,398375,61100 ,7714 ,61.9
E02000227,Croydon 034,240620,48000 ,11616 ,43.1
E02000228,Croydon 035,453601,66900 ,7793 ,61.8
E02000229,Croydon 036,239661,36400 ,6512 ,53.1
E02000230,Croydon 037,361234,57700 ,10281 ,91.2
E02000231,Croydon 038,593910,66300 ,7763 ,66.5
E02000232,Croydon 039,392002,53900 ,6330 ,49.9
E02000233,Croydon 040,358891,54700 ,6338 ,44.4
E02000234,Croydon 041,368614,54400 ,8405 ,73.0
E02000235,Croydon 042,371239,61300 ,7149 ,61.0
E02000236,Croydon 043,375082,62400 ,7802 ,59.8
E02000237,Croydon 044,354324,53900 ,7662 ,65.2
E02006788,Croydon 045,285715,42100 ,7657 ,57.5
E02000598,Kingston upon Thames 001,605543,68800 ,8147 ,39.7
E02000599,Kingston upon Thames 002,1284396,77800 ,7815 ,70.0
E02000600,Kingston upon Thames 003,463508,59800 ,8966 ,87.1
E02000601,Kingston upon Thames 004,531136,67300 ,11598 ,71.6
E02000602,Kingston upon Thames 005,408627,50100 ,10379 ,52.3
E02000603,Kingston upon Thames 006,395357,50700 ,8182 ,65.3
E02000604,Kingston upon Thames 007,504351,59200 ,8898 ,66.7
E02000605,Kingston upon Thames 008,478536,59300 ,8277 ,66.0
E02000606,Kingston upon Thames 009,442460,58900 ,10550 ,55.2
E02000607,Kingston upon Thames 010,498962,62300 ,7405 ,47.2
