CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000093,Brent 001,345407,50800 ,11019 ,91.2
E02000094,Brent 002,325062,47900 ,8682 ,106.6
E02000095,Brent 003,359140,50000 ,10098 ,92.4
E02000096,Brent 004,448483,55800 ,7450 ,68.7
E02000097,Brent 005,352491,48400 ,9018 ,95.1
E02000098,Brent 006,487480,46500 ,8368 ,91.5
E02000099,Brent 007,357032,49200 ,8755 ,112.6
E02000100,Brent 008,491886,53800 ,8899 ,47.9
E02000101,Brent 009,389665,39800 ,9697 ,110.8
E02000102,Brent 010,305023,41900 ,7751 ,87.3
E02000103,Brent 011,367825,41900 ,8892 ,87.8
E02000104,Brent 012,337698,47500 ,6903 ,77.5
E02000105,Brent 013,322690,48400 ,9621 ,102.4
E02000106,Brent 014,393381,38200 ,10727 ,106.5
E02000107,Brent 015,546903,45700 ,11242 ,72.3
E02000108,Brent 016,315848,42700 ,6762 ,86.5
E02000109,Brent 017,304958,46100 ,10681 ,93.0
E02000110,Brent 018,639513,50100 ,8400 ,65.8
E02000111,Brent 019,277478,46500 ,10631 ,106.9
E02000112,Brent 020,295786,43800 ,9663 ,84.2
E02000113,Brent 021,254149,36100 ,9675 ,84.9
E02000114,Brent 022,491070,42900 ,9351 ,69.2
E02000115,Brent 023,608424,48400 ,8436 ,61.1
E02000116,Brent 024,405657,36000 ,8926 ,93.2
E02000117,Brent 025,297071,34100 ,12138 ,99.8
E02000118,Brent 026,269072,44800 ,10226 ,90.9
E02000119,Brent 027,277576,38200 ,7774 ,88.4
E02000120,Brent 028,589981,47800 ,9296 ,66.7
E02000121,Brent 029,272477,44100 ,9855 ,82.0
E02000122,Brent 030,988921,55900 ,7987 ,56.0
E02000123,Brent 031,410167,34200 ,15476 ,97.1
E02000124,Brent 032,950071,53000 ,10269 ,77.5
E02000125,Brent 033,705757,50300 ,10775 ,74.4
E02000126,Brent 034,411502,36300 ,7319 ,81.0
E02000238,Ealing 001,287686,48100 ,9741 ,82.3
E02000239,Ealing 002,374957,53100 ,9117 ,82.8
E02000240,Ealing 003,267733,44000 ,10413 ,93.6
E02000241,Ealing 004,314517,48000 ,6769 ,85.0
E02000242,Ealing 005,366106,49800 ,6985 ,92.0
E02000243,Ealing 006,301487,45500 ,8654 ,80.8
E02000244,Ealing 007,355832,48900 ,7380 ,107.1
E02000245,Ealing 008,206213,39700 ,8523 ,93.4
E02000246,Ealing 009,286703,44500 ,8801 ,81.8
E02000247,Ealing 010,240836,46700 ,10417 ,112.4
E02000248,Ealing 011,481876,48800 ,7381 ,79.7
E02000249,Ealing 012,320934,45300 ,7825 ,94.4
E02000250,Ealing 013,629265,65200 ,6437 ,52.9
E02000251,Ealing 014,312747,48700 ,7839 ,68.0
E02000252,Ealing 015,335218,37500 ,10382 ,80.9
E02000253,Ealing 016,388833,42600 ,9519 ,83.9
E02000254,Ealing 017,265164,47700 ,8823 ,83.6
E02000255,Ealing 018,586530,54700 ,9305 ,69.2
E02000256,Ealing 019,628969,60400 ,8992 ,56.9
E02000257,Ealing 020,662380,60500 ,13418 ,52.7
E02000258,Ealing 021,666569,54000 ,7080 ,84.6
E02000259,Ealing 022,476988,54600 ,6237 ,69.4
E02000260,Ealing 023,268871,46400 ,9057 ,79.8
E02000261,Ealing 024,551340,43800 ,11362 ,80.4
E02000262,Ealing 025,642178,47400 ,9109 ,83.0
E02000263,Ealing 026,244989,45600 ,11988 ,104.1
E02000264,Ealing 027,697206,58400 ,8152 ,55.1
E02000265,Ealing 028,466685,51400 ,10665 ,80.1
E02000266,Ealing 029,271467,39300 ,11691 ,70.5
E02000267,Ealing 030,442566,52200 ,7269 ,87.9
E02000268,Ealing 031,682681,58300 ,9139 ,63.4
E02000269,Ealing 032,622341,65600 ,8170 ,58.1
E02000270,Ealing 033,438918,43000 ,7971 ,77.5
E02000271,Ealing 034,1201882,69200 ,6700 ,80.3
E02000272,Ealing 035,642519,61200 ,6553 ,79.7
E02000274,Ealing 037,236112,43200 ,13617 ,70.1
E02000275,Ealing 038,337160,45800 ,7421 ,105.3
E02000276,Ealing 039,530929,64600 ,6527 ,93.8
E02006791,Ealing 040,711250,63300 ,6689 ,72.0
E02000372,Hammersmith and Fulham 001,464896,43200 ,9412 ,59.0
E02000373,Hammersmith and Fulham 002,373346,34700 ,6403 ,67.1
E02000374,Hammersmith and Fulham 003,701467,43100 ,6504 ,62.3
E02000375,Hammersmith and Fulham 004,609695,41900 ,6794 ,55.0
E02000376,Hammersmith and Fulham 005,538079,45000 ,6742 ,50.5
E02000377,Hammersmith and Fulham 006,648658,46000 ,8023 ,83.5
E02000378,Hammersmith and Fulham 007,655484,53700 ,6336 ,58.8
E02000379,Hammersmith and Fulham 008,700673,53500 ,7554 ,59.2
E02000380,Hammersmith and Fulham 009,1015821,61800 ,5691 ,58.9
E02000381,Hammersmith and Fulham 010,1038410,59600 ,7659 ,46.9
E02000382,Hammersmith and Fulham 011,771584,58200 ,5847 ,38.4
E02000383,Hammersmith and Fulham 012,734669,57300 ,9045 ,45.4
E02000384,Hammersmith and Fulham 013,890652,47200 ,7149 ,52.4
E02000385,Hammersmith and Fulham 014,700761,66000 ,5962 ,50.1
E02000386,Hammersmith and Fulham 015,607914,44700 ,8033 ,54.8
E02000387,Hammersmith and Fulham 016,660160,55600 ,6061 ,55.3
E02000388,Hammersmith and Fulham 017,1264675,56100 ,7924 ,59.0
E02000389,Hammersmith and Fulham 018,930026,65700 ,7995 ,60.5
E02000390,Hammersmith and Fulham 019,908564,59800 ,6160 ,68.1
